"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2019","176.89","177.35","177.80","175.91","48.83M","-0.02%"
"06/24/2019","176.93","176.74","177.65","176.02","43.61M","-0.06%"
"06/21/2019","177.04","176.19","177.47","175.46","72.89M","0.13%"
"06/20/2019","176.81","178.11","178.56","175.12","54.69M","-0.42%"
"06/19/2019","177.55","178.43","179.88","177.10","47.75M","0.07%"
"06/18/2019","177.42","177.36","180.14","176.36","55.45M","0.77%"
"06/17/2019","176.06","172.64","176.68","171.92","38.49M","1.89%"
"06/14/2019","172.80","172.83","174.03","171.59","33.56M","-0.56%"
"06/13/2019","173.78","171.31","173.78","169.98","38.53M","1.65%"
"06/12/2019","170.96","174.96","175.05","170.85","43.54M","-1.75%"
"06/11/2019","174.01","174.45","175.62","172.95","43.53M","1.02%"
"06/10/2019","172.25","172.33","174.63","171.32","54.05M","1.80%"
"06/07/2019","169.21","168.99","170.70","168.65","42.59M","0.24%"
"06/06/2019","168.80","168.05","169.81","166.89","60.66M","0.26%"
"06/05/2019","168.36","169.82","170.05","166.14","67.40M","0.02%"
"06/04/2019","168.32","162.13","168.52","162.01","65.63M","5.37%"
"06/03/2019","159.74","160.23","160.92","157.71","64.89M","0.09%"
"05/31/2019","159.59","159.24","160.52","158.39","75.89M","-2.90%"
"05/30/2019","164.36","164.28","165.86","163.35","42.01M","-0.04%"
"05/29/2019","164.42","163.72","164.98","162.26","58.47M","-0.26%"
"05/28/2019","164.85","166.72","167.51","164.38","47.05M","-0.78%"
"05/24/2019","166.15","169.07","169.07","165.23","42.84M","-0.62%"
"05/23/2019","167.18","166.94","167.30","163.91","85.22M","-0.67%"
"05/22/2019","168.30","173.50","174.36","168.18","84.10M","-4.00%"
"05/21/2019","175.31","173.83","175.69","172.73","57.84M","0.12%"
"05/20/2019","175.10","174.02","175.24","172.39","69.09M","-0.66%"
"05/17/2019","176.26","179.13","179.63","176.23","61.43M","-2.68%"
"05/16/2019","181.11","180.78","181.98","180.13","45.98M","-0.24%"
"05/15/2019","181.54","178.64","182.05","176.69","60.81M","0.70%"
"05/14/2019","180.27","178.63","181.32","178.41","45.85M","1.69%"
"05/13/2019","177.27","180.81","180.81","176.78","82.92M","-3.83%"
"05/10/2019","184.33","182.61","184.98","180.85","52.19M","0.60%"
"05/09/2019","183.23","183.55","184.21","181.22","60.36M","-1.39%"
"05/08/2019","185.82","186.87","188.37","185.68","47.25M","-0.68%"
"05/07/2019","187.09","189.39","189.39","185.92","62.78M","-0.44%"
"05/06/2019","187.91","183.93","188.52","183.93","47.37M","-0.86%"
"05/03/2019","189.54","186.49","190.00","185.76","66.43M","1.94%"
"05/02/2019","185.94","186.32","186.68","184.47","64.90M","0.75%"
"05/01/2019","184.55","187.05","187.49","184.39","63.34M","-1.23%"
"04/30/2019","186.85","186.73","188.35","185.67","72.70M","-1.00%"
"04/29/2019","188.73","187.19","189.78","185.68","88.40M","0.77%"
"04/26/2019","187.28","187.97","189.05","186.05","192.49M","2.42%"
"04/25/2019","182.85","186.19","186.19","182.64","77.20M","-2.43%"
"04/24/2019","187.40","187.62","188.10","186.63","58.42M","-0.58%"
"04/23/2019","188.50","186.24","188.59","184.80","65.03M","0.35%"
"04/22/2019","187.84","190.49","190.80","187.77","60.46M","-2.14%"
"04/18/2019","191.94","190.78","192.64","190.78","47.19M","0.64%"
"04/17/2019","190.72","190.89","191.85","190.30","43.93M","0.55%"
"04/16/2019","189.67","187.67","190.55","187.61","56.91M","0.99%"
"04/15/2019","187.81","189.59","189.84","185.83","57.38M","-0.65%"
"04/12/2019","189.04","189.42","191.03","188.68","51.51M","0.59%"
"04/11/2019","187.94","187.63","188.74","187.13","42.03M","-0.52%"
"04/10/2019","188.93","186.94","189.52","186.86","41.58M","1.21%"
"04/09/2019","186.68","187.30","188.14","186.23","43.73M","-0.74%"
"04/08/2019","188.07","187.91","189.36","187.00","44.97M","0.09%"
"04/05/2019","187.91","185.60","188.22","184.84","58.76M","1.09%"
"04/04/2019","185.88","183.64","186.68","183.43","74.38M","-1.63%"
"04/03/2019","188.96","187.42","190.27","187.42","75.03M","1.59%"
"04/02/2019","186.00","186.25","186.41","184.78","43.92M","-0.11%"
"04/01/2019","186.20","182.90","186.29","182.90","60.70M","2.47%"
"03/29/2019","181.72","182.01","182.19","180.44","50.65M","0.21%"
"03/28/2019","181.34","179.54","181.96","179.54","52.81M","1.37%"
"03/27/2019","178.89","178.73","180.28","177.34","58.08M","0.15%"
"03/26/2019","178.62","176.75","178.73","176.71","63.67M","1.85%"
"03/25/2019","175.37","174.82","176.94","173.52","65.46M","-0.20%"
"03/22/2019","175.72","179.35","179.83","175.38","62.20M","-2.61%"
"03/21/2019","180.43","178.44","180.81","177.56","59.99M","1.00%"
"03/20/2019","178.64","180.65","180.82","177.07","74.80M","-1.41%"
"03/19/2019","181.20","180.82","184.10","180.38","78.91M","0.52%"
"03/18/2019","180.27","181.31","181.88","178.90","54.53M","-0.36%"
"03/15/2019","180.93","182.32","182.61","180.50","103.92M","-1.42%"
"03/14/2019","183.53","185.91","186.42","183.37","53.92M","-1.04%"
"03/13/2019","185.46","184.68","186.77","184.02","63.69M","0.61%"
"03/12/2019","184.34","185.66","186.72","183.73","53.64M","-0.97%"
"03/11/2019","186.15","182.79","186.27","182.61","58.05M","1.91%"
"03/08/2019","182.66","180.57","182.98","179.90","60.10M","0.59%"
"03/07/2019","181.58","182.58","183.86","180.27","73.40M","-1.00%"
"03/06/2019","183.42","185.62","186.71","182.99","71.59M","-1.30%"
"03/05/2019","185.84","186.77","187.51","183.89","64.93M","-0.85%"
"03/04/2019","187.43","190.91","190.99","186.47","72.61M","-1.22%"
"03/01/2019","189.75","192.80","193.09","188.29","69.85M","-2.32%"
"02/28/2019","194.25","194.70","194.70","191.33","63.78M","-0.04%"
"02/27/2019","194.33","192.34","194.93","191.63","55.40M","1.37%"
"02/26/2019","191.71","189.80","193.16","188.79","55.57M","0.14%"
"02/25/2019","191.44","191.13","193.00","191.13","71.04M","0.77%"
"02/22/2019","189.98","189.35","189.98","187.99","54.18M","0.69%"
"02/21/2019","188.68","192.59","193.01","188.51","61.32M","-2.11%"
"02/20/2019","192.75","191.83","193.53","191.47","56.90M","0.44%"
"02/19/2019","191.91","189.47","192.57","189.37","52.42M","1.04%"
"02/15/2019","189.94","188.81","190.11","187.83","72.68M","1.06%"
"02/14/2019","187.94","187.45","188.85","186.93","37.29M","-0.51%"
"02/13/2019","188.91","190.28","190.58","188.23","39.27M","-0.48%"
"02/12/2019","189.83","189.98","191.45","189.41","42.54M","0.72%"
"02/11/2019","188.48","188.61","189.80","187.82","43.96M","0.53%"
"02/08/2019","187.48","186.76","187.59","183.74","52.92M","0.07%"
"02/07/2019","187.35","191.58","191.67","185.88","79.57M","-3.47%"
"02/06/2019","194.09","195.42","197.87","193.31","55.81M","0.07%"
"02/05/2019","193.96","191.30","194.23","191.24","45.87M","1.37%"
"02/04/2019","191.33","190.64","191.57","188.23","47.76M","0.15%"
"02/01/2019","191.05","190.34","192.59","189.39","52.07M","0.03%"
"01/31/2019","190.99","188.38","191.45","186.59","67.24M","0.06%"
"01/30/2019","190.87","187.89","190.95","185.92","57.94M","1.86%"
"01/29/2019","187.38","186.79","187.50","185.54","50.74M","0.19%"
"01/28/2019","187.02","186.53","187.51","184.91","62.91M","-0.87%"
"01/25/2019","188.67","186.42","189.17","186.42","70.84M","1.90%"
"01/24/2019","185.15","181.10","185.39","179.96","96.99M","1.78%"
"01/23/2019","181.91","185.05","185.31","180.53","66.51M","-2.18%"
"01/22/2019","185.97","188.73","189.39","185.04","72.58M","-1.18%"
"01/18/2019","188.19","190.43","191.62","187.23","86.51M","-3.51%"
"01/17/2019","195.03","192.95","196.32","192.48","75.28M","0.93%"
"01/16/2019","193.23","194.81","197.38","193.04","97.55M","-1.29%"
"01/15/2019","195.75","195.23","197.10","192.79","85.45M","0.48%"
"01/14/2019","194.81","194.61","196.90","193.06","65.31M","-0.30%"
"01/11/2019","195.39","192.67","197.00","192.06","80.06M","3.10%"
"01/10/2019","189.51","188.20","189.68","184.95","55.66M","0.08%"
"01/09/2019","189.36","186.40","191.24","185.27","65.36M","1.77%"
"01/08/2019","186.07","187.78","190.06","183.82","64.50M","0.83%"
"01/07/2019","184.53","179.41","185.94","178.04","59.16M","3.77%"
"01/04/2019","177.82","173.39","178.32","172.10","62.89M","4.37%"
"01/03/2019","170.38","174.70","175.91","170.27","59.11M","-3.07%"
"01/02/2019","175.78","172.22","177.29","169.49","68.60M","-1.49%"
"12/31/2018","178.44","181.76","181.76","175.49","74.33M","-1.09%"
"12/28/2018","180.40","178.51","182.10","177.71","68.21M","1.79%"
"12/27/2018","177.23","176.78","177.31","169.60","72.71M","-0.61%"
"12/26/2018","178.32","169.41","178.32","165.45","81.04M","5.82%"
"12/24/2018","168.51","174.60","174.82","168.44","54.21M","-4.71%"
"12/21/2018","176.83","180.11","183.16","176.79","89.97M","-1.64%"
"12/20/2018","179.77","183.66","185.11","177.87","83.66M","-2.73%"
"12/19/2018","184.81","186.54","191.76","183.50","97.75M","-0.92%"
"12/18/2018","186.52","188.91","191.06","185.24","55.45M","-1.03%"
"12/17/2018","188.46","192.04","194.84","186.88","64.97M","-2.32%"
"12/14/2018","192.93","194.83","197.09","192.29","51.75M","-1.08%"
"12/13/2018","195.03","196.01","197.36","193.58","49.84M","-0.08%"
"12/12/2018","195.18","193.87","197.20","193.87","58.33M","1.23%"
"12/11/2018","192.81","195.05","197.00","192.25","60.33M","0.38%"
"12/10/2018","192.08","193.53","194.59","187.46","77.92M","-0.57%"
"12/07/2018","193.19","198.70","201.32","193.14","65.45M","-2.18%"
"12/06/2018","197.49","197.67","197.74","194.05","79.69M","-1.19%"
"12/04/2018","199.86","205.56","206.30","199.57","84.52M","-2.97%"
"12/03/2018","205.98","205.76","209.54","205.55","92.14M","1.89%"
"11/30/2018","202.16","198.01","202.32","197.56","60.82M","2.13%"
"11/29/2018","197.94","199.09","199.22","196.22","40.48M","-0.98%"
"11/28/2018","199.90","198.15","200.08","195.60","51.45M","1.14%"
"11/27/2018","197.64","198.46","199.55","196.56","67.56M","-1.41%"
"11/26/2018","200.46","191.29","202.29","191.29","86.58M","4.71%"
"11/23/2018","191.45","191.60","192.87","190.57","22.55M","-0.83%"
"11/21/2018","193.05","194.55","195.28","193.00","38.42M","-0.34%"
"11/20/2018","193.71","193.26","195.82","191.00","54.52M","-1.70%"
"11/19/2018","197.07","196.62","199.80","195.84","79.46M","0.28%"
"11/16/2018","196.52","195.95","197.26","194.00","74.46M","0.03%"
"11/15/2018","196.47","195.76","196.92","190.39","81.90M","0.07%"
"11/14/2018","196.33","198.64","199.50","194.55","58.56M","-0.16%"
"11/13/2018","196.65","195.41","199.77","195.25","49.59M","1.22%"
"11/12/2018","194.28","197.03","198.91","193.57","56.23M","-1.58%"
"11/09/2018","197.39","198.60","200.14","195.64","68.60M","-1.15%"
"11/08/2018","199.68","199.70","202.18","199.00","76.12M","-0.38%"
"11/07/2018","200.45","198.87","200.90","197.68","57.85M","1.44%"
"11/06/2018","197.60","196.72","199.29","195.69","60.19M","0.23%"
"11/05/2018","197.14","195.81","197.89","194.49","64.27M","0.07%"
"11/02/2018","197.00","197.62","200.23","194.50","71.53M","0.11%"
"11/01/2018","196.79","196.37","198.28","194.70","84.86M","-0.04%"
"10/31/2018","196.87","194.10","198.44","193.28","116.46M","4.12%"
"10/30/2018","189.08","186.77","191.41","186.23","85.85M","0.60%"
"10/29/2018","187.96","190.32","193.77","184.93","128.29M","1.89%"
"10/26/2018","184.48","179.03","186.63","177.74","149.22M","2.19%"
"10/25/2018","180.52","173.85","181.02","173.85","130.51M","7.28%"
"10/24/2018","168.27","175.55","176.46","168.27","99.28M","-3.64%"
"10/23/2018","174.63","164.95","175.30","164.23","98.10M","5.24%"
"10/22/2018","165.94","165.61","166.22","163.71","61.00M","-0.16%"
"10/19/2018","166.20","165.77","168.12","163.86","85.86M","-0.46%"
"10/18/2018","166.97","170.83","170.86","166.82","81.95M","-2.82%"
"10/17/2018","171.81","174.81","174.81","170.15","68.24M","-1.05%"
"10/16/2018","173.63","171.49","173.89","170.36","59.70M","2.21%"
"10/15/2018","169.87","168.16","171.24","168.14","61.89M","1.00%"
"10/12/2018","168.18","170.68","172.14","166.11","83.02M","-0.40%"
"10/11/2018","168.85","170.51","173.33","167.73","95.51M","-0.92%"
"10/10/2018","170.41","172.88","172.98","168.00","85.66M","-1.33%"
"10/09/2018","172.70","175.53","175.81","172.60","89.95M","-1.53%"
"10/08/2018","175.38","177.04","178.25","174.40","67.19M","-0.69%"
"10/05/2018","176.60","179.39","179.71","175.80","69.25M","-2.32%"
"10/04/2018","180.79","182.95","184.05","179.61","68.71M","-1.22%"
"10/03/2018","183.02","187.61","187.61","182.86","84.71M","-0.23%"
"10/02/2018","183.45","188.29","188.34","183.04","78.45M","-2.27%"
"10/01/2018","187.71","187.64","188.41","186.27","80.79M","5.84%"
"09/28/2018","177.35","177.91","179.25","176.38","75.08M","-4.36%"
"09/27/2018","185.43","186.30","187.02","185.02","58.59M","-0.38%"
"09/26/2018","186.13","185.03","187.71","184.08","84.85M","0.73%"
"09/25/2018","184.79","187.45","187.81","184.15","63.82M","-1.65%"
"09/24/2018","187.89","189.50","190.16","186.25","59.72M","-1.36%"
"09/21/2018","190.48","191.41","192.66","189.65","109.82M","-0.54%"
"09/20/2018","191.52","192.36","194.38","189.88","66.20M","0.38%"
"09/19/2018","190.79","185.45","191.14","185.45","60.77M","2.82%"
"09/18/2018","185.55","187.78","188.81","183.60","84.16M","-0.85%"
"09/17/2018","187.15","184.63","188.22","184.58","48.77M","0.67%"
"09/14/2018","185.91","184.03","186.55","183.63","51.55M","1.20%"
"09/13/2018","183.70","183.45","185.00","181.95","51.26M","0.18%"
"09/12/2018","183.37","180.73","184.27","180.40","45.49M","1.60%"
"09/11/2018","180.48","181.11","181.28","178.89","45.44M","-1.00%"
"09/10/2018","182.30","179.53","182.44","179.53","56.46M","2.79%"
"09/07/2018","177.35","178.19","179.68","176.14","88.47M","-2.83%"
"09/06/2018","182.51","184.70","186.44","182.17","51.36M","-1.07%"
"09/05/2018","184.48","185.48","185.62","183.20","69.18M","-0.96%"
"09/04/2018","186.26","188.50","188.89","185.90","76.49M","-1.74%"
"08/31/2018","189.56","191.05","191.39","188.31","96.40M","-1.08%"
"08/30/2018","191.63","194.61","194.61","190.44","66.40M","-1.79%"
"08/29/2018","195.12","196.82","196.82","194.97","53.24M","-0.97%"
"08/28/2018","197.03","200.09","200.09","196.38","52.16M","-1.06%"
"08/27/2018","199.14","194.80","199.27","194.21","81.81M","2.29%"
"08/24/2018","194.69","194.14","194.86","193.48","30.21M","0.70%"
