"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2022","809.08","792.38","821.15","791.13","221.23M","1.98%"
"12/08/2022","793.36","789.52","799.46","778.88","185.67M","-0.23%"
"12/07/2022","795.20","799.33","814.24","789.60","175.84M","-2.44%"
"12/06/2022","815.11","824.41","833.17","802.16","211.20M","-1.60%"
"12/05/2022","828.38","855.51","860.26","822.71","186.09M","-5.28%"
"12/02/2022","874.57","863.51","876.98","860.77","163.93M","-0.18%"
"12/01/2022","876.11","884.13","892.22","866.72","191.66M","-0.03%"
"11/30/2022","876.39","832.00","876.44","823.83","277.70M","6.11%"
"11/29/2022","825.91","834.01","845.24","819.11","161.16M","-0.75%"
"11/28/2022","832.17","826.21","850.69","825.32","193.59M","-0.79%"
"11/25/2022","838.77","844.21","844.21","829.66","89.04M","-0.03%"
"11/23/2022","839.02","808.69","840.59","805.18","182.02M","5.19%"
"11/22/2022","797.66","792.40","801.07","784.37","160.78M","1.15%"
"11/21/2022","788.58","814.14","816.70","787.41","196.99M","-5.02%"
"11/18/2022","830.24","844.55","846.28","816.85","181.09M","-0.80%"
"11/17/2022","836.95","836.80","845.47","827.71","183.63M","-1.51%"
"11/16/2022","849.81","869.67","871.77","845.82","174.08M","-3.66%"
"11/15/2022","882.06","885.99","904.73","872.71","221.70M","1.67%"
"11/14/2022","867.55","876.24","886.28","854.09","210.63M","-2.41%"
"11/11/2022","888.93","851.71","892.78","841.37","258.04M","2.71%"
"11/10/2022","865.50","854.76","868.10","826.81","322.71M","7.27%"
"11/09/2022","806.88","853.64","869.56","805.50","309.95M","-6.09%"
"11/08/2022","859.17","866.61","872.02","842.78","238.35M","-1.96%"
"11/07/2022","876.36","912.60","912.94","871.82","192.95M","-3.32%"
"11/04/2022","906.49","952.50","959.38","888.57","220.98M","-1.95%"
"11/03/2022","924.50","907.32","944.40","903.65","163.99M","0.47%"
"11/02/2022","920.15","960.63","967.44","919.79","192.67M","-4.90%"
"11/01/2022","967.61","992.99","1,000.42","966.59","158.71M","0.00%"
"10/31/2022","967.62","960.48","976.46","948.27","196.65M","-0.16%"
"10/28/2022","969.14","953.49","969.83","927.43","173.40M","1.63%"
"10/27/2022","953.58","967.74","981.17","944.91","201.30M","0.35%"
"10/26/2022","950.30","942.19","970.96","927.89","236.32M","0.90%"
"10/25/2022","941.86","897.26","948.64","897.26","247.65M","4.78%"
"10/24/2022","898.86","877.96","906.18","853.60","225.36M","-0.58%"
"10/21/2022","904.06","870.84","904.64","863.09","184.54M","3.52%"
"10/20/2022","873.34","879.98","903.82","860.73","228.40M","-5.35%"
"10/19/2022","922.70","915.51","926.05","909.17","158.41M","0.31%"
"10/18/2022","919.82","949.66","951.00","909.01","182.42M","0.83%"
"10/17/2022","912.26","882.14","920.45","880.51","193.50M","5.91%"
"10/14/2022","861.38","926.94","934.55","859.16","219.72M","-6.18%"
"10/13/2022","918.09","866.98","922.60","860.29","228.94M","1.93%"
"10/12/2022","900.73","896.35","908.73","880.89","186.46M","0.23%"
"10/11/2022","898.64","909.63","929.24","892.53","224.61M","-2.05%"
"10/10/2022","917.44","922.15","930.72","902.23","265.79M","-1.04%"
"10/07/2022","927.07","964.87","966.53","922.84","208.76M","-5.52%"
"10/06/2022","981.27","984.94","1,004.11","971.16","185.60M","-0.90%"
"10/05/2022","990.22","1,000.32","1,005.24","962.48","232.84M","-2.83%"
"10/04/2022","1,019.10","1,013.59","1,040.28","991.25","284.64M","3.95%"
"10/03/2022","980.42","1,012.93","1,015.69","972.87","226.87M","-6.19%"
"09/30/2022","1,045.16","1,050.53","1,083.41","1,038.09","194.08M","-1.28%"
"09/29/2022","1,058.67","1,113.51","1,113.51","1,049.75","226.85M","-6.52%"
"09/28/2022","1,132.56","1,112.07","1,137.47","1,095.06","179.00M","1.87%"
"09/27/2022","1,111.74","1,119.88","1,133.20","1,091.61","205.83M","1.90%"
"09/26/2022","1,091.01","1,079.29","1,121.47","1,075.70","199.60M","0.00%"
"09/23/2022","1,091.02","1,117.48","1,121.90","1,078.89","235.09M","-4.33%"
"09/22/2022","1,140.37","1,181.55","1,186.48","1,131.45","216.15M","-3.70%"
"09/21/2022","1,184.18","1,213.47","1,233.62","1,183.90","222.80M","-2.43%"
"09/20/2022","1,213.67","1,218.04","1,233.00","1,205.01","324.64M","-1.47%"
"09/19/2022","1,231.81","1,197.07","1,233.61","1,189.87","165.20M","1.85%"
"09/16/2022","1,209.38","1,199.50","1,210.20","1,186.61","328.84M","-0.44%"
"09/15/2022","1,214.75","1,207.38","1,239.42","1,205.53","206.87M","0.32%"
"09/14/2022","1,210.87","1,179.66","1,221.92","1,175.94","211.53M","2.75%"
"09/13/2022","1,178.50","1,182.27","1,199.79","1,175.67","227.23M","-3.99%"
"09/12/2022","1,227.45","1,212.68","1,230.35","1,212.68","179.78M","1.68%"
"09/09/2022","1,207.19","1,180.20","1,207.63","1,179.71","189.60M","3.09%"
"09/08/2022","1,171.06","1,140.11","1,171.68","1,135.64","200.08M","1.67%"
"09/07/2022","1,151.78","1,110.06","1,152.62","1,106.79","170.64M","3.31%"
"09/06/2022","1,114.83","1,111.72","1,121.59","1,086.73","193.31M","1.00%"
"09/02/2022","1,103.79","1,144.94","1,145.88","1,099.28","164.91M","-2.07%"
"09/01/2022","1,127.13","1,111.07","1,128.42","1,087.58","170.33M","0.41%"
"08/31/2022","1,122.51","1,141.95","1,142.42","1,111.74","169.83M","-0.84%"
"08/30/2022","1,131.97","1,167.92","1,168.75","1,113.72","179.38M","-2.13%"
"08/29/2022","1,156.65","1,146.81","1,167.47","1,142.79","134.47M","-0.75%"
"08/26/2022","1,165.37","1,204.61","1,219.20","1,164.33","166.12M","-2.86%"
"08/25/2022","1,199.69","1,213.80","1,215.38","1,184.34","157.49M","0.33%"
"08/24/2022","1,195.76","1,193.83","1,216.06","1,192.63","107.37M","0.49%"
"08/23/2022","1,189.96","1,174.42","1,198.03","1,164.37","125.12M","1.85%"
"08/22/2022","1,168.39","1,192.94","1,192.94","1,157.92","154.48M","-2.78%"
"08/19/2022","1,201.77","1,212.56","1,215.12","1,187.83","149.11M","-1.84%"
"08/18/2022","1,224.34","1,232.49","1,234.41","1,218.16","95.51M","-0.12%"
"08/17/2022","1,225.87","1,225.11","1,245.82","1,212.42","132.66M","-1.12%"
"08/16/2022","1,239.81","1,253.78","1,262.78","1,225.84","146.47M","-0.66%"
"08/15/2022","1,247.99","1,223.23","1,260.89","1,221.09","143.08M","2.28%"
"08/12/2022","1,220.17","1,174.36","1,220.17","1,168.64","162.69M","4.06%"
"08/11/2022","1,172.53","1,202.30","1,207.77","1,169.20","170.81M","-1.58%"
"08/10/2022","1,191.32","1,198.93","1,198.93","1,154.64","172.71M","3.76%"
"08/09/2022","1,148.10","1,175.91","1,180.60","1,135.05","166.71M","-2.51%"
"08/08/2022","1,177.66","1,186.26","1,224.36","1,173.97","184.31M","1.35%"
"08/05/2022","1,161.99","1,205.74","1,213.03","1,153.09","163.30M","-5.26%"
"08/04/2022","1,226.50","1,241.81","1,245.67","1,216.74","196.24M","-0.54%"
"08/03/2022","1,233.10","1,220.70","1,241.58","1,211.51","195.92M","2.36%"
"08/02/2022","1,204.68","1,183.45","1,230.96","1,178.27","176.34M","0.80%"
"08/01/2022","1,195.17","1,201.79","1,236.17","1,185.82","202.88M","0.43%"
"07/29/2022","1,190.04","1,133.93","1,194.18","1,128.83","189.40M","4.93%"
"07/28/2022","1,134.10","1,127.12","1,138.64","1,100.23","236.60M","2.55%"
"07/27/2022","1,105.93","1,065.21","1,109.41","1,058.18","141.14M","5.60%"
"07/26/2022","1,047.24","1,073.35","1,074.98","1,038.62","125.51M","-3.29%"
"07/25/2022","1,082.87","1,096.58","1,099.86","1,079.06","107.82M","-1.13%"
"07/22/2022","1,095.30","1,114.16","1,124.12","1,088.39","143.64M","-0.33%"
"07/21/2022","1,098.90","1,043.75","1,101.30","1,043.75","186.31M","7.70%"
"07/20/2022","1,020.32","1,013.72","1,028.08","1,004.37","140.86M","0.97%"
"07/19/2022","1,010.50","987.97","1,015.29","981.55","144.97M","2.76%"
"07/18/2022","983.37","999.36","1,018.43","979.91","135.21M","0.17%"
"07/15/2022","981.66","979.51","990.15","968.08","130.03M","1.32%"
"07/14/2022","968.86","956.53","970.09","935.83","129.52M","0.18%"
"07/13/2022","967.10","928.53","982.03","924.00","138.11M","1.25%"
"07/12/2022","955.13","961.71","973.89","937.66","150.74M","0.09%"
"07/11/2022","954.24","1,015.70","1,018.95","951.91","144.72M","-5.84%"
"07/08/2022","1,013.46","988.46","1,029.15","984.91","162.82M","1.83%"
"07/07/2022","995.24","955.17","997.93","951.39","168.39M","5.39%"
"07/06/2022","944.31","943.68","958.31","928.79","188.86M","-0.77%"
"07/05/2022","951.64","913.61","951.81","888.36","181.42M","1.95%"
"07/01/2022","933.40","928.96","945.24","913.19","142.96M","1.28%"
"06/30/2022","921.63","925.96","940.72","903.05","161.72M","-2.15%"
"06/29/2022","941.92","952.51","953.73","920.98","118.82M","-1.91%"
"06/28/2022","960.27","1,002.84","1,024.88","959.53","134.37M","-4.20%"
"06/27/2022","1,002.36","1,018.51","1,026.42","994.97","131.77M","-0.32%"
"06/24/2022","1,005.59","972.09","1,005.65","968.20","227.68M","4.37%"
"06/23/2022","963.50","970.29","975.63","938.65","163.06M","-0.07%"
"06/22/2022","964.18","954.80","1,001.18","953.61","147.14M","-0.23%"
"06/21/2022","966.36","926.74","987.95","926.74","192.22M","7.88%"
"06/17/2022","895.78","884.75","908.25","878.78","211.10M","1.59%"
"06/16/2022","881.74","924.74","929.40","866.21","203.79M","-8.41%"
"06/15/2022","962.72","923.64","972.93","915.37","190.42M","4.55%"
"06/14/2022","920.84","911.75","939.25","889.80","184.73M","2.17%"
"06/13/2022","901.26","931.56","943.58","897.00","204.54M","-7.00%"
"06/10/2022","969.07","984.17","999.27","956.73","155.70M","-3.44%"
"06/09/2022","1,003.64","1,037.36","1,058.03","1,003.35","117.48M","-1.20%"
"06/08/2022","1,015.83","1,012.18","1,045.53","1,007.26","117.40M","0.71%"
"06/07/2022","1,008.66","988.93","1,011.87","974.34","126.53M","0.43%"
"06/06/2022","1,004.38","1,023.67","1,024.89","990.96","127.90M","1.49%"
"06/03/2022","989.63","1,020.12","1,034.49","985.52","139.32M","-7.66%"
"06/02/2022","1,071.73","1,023.34","1,089.91","1,016.59","137.20M","4.04%"
"06/01/2022","1,030.07","1,051.25","1,065.53","1,017.95","139.07M","-2.02%"
"05/31/2022","1,051.30","1,065.96","1,072.71","1,021.68","202.09M","0.01%"
"05/27/2022","1,051.23","1,007.61","1,051.23","1,007.61","154.33M","6.23%"
"05/26/2022","989.60","933.96","1,002.20","928.77","156.60M","6.59%"
"05/25/2022","928.40","885.26","940.35","885.16","143.61M","4.19%"
"05/24/2022","891.09","921.95","921.95","881.51","155.81M","-5.82%"
"05/23/2022","946.20","924.92","953.07","905.66","156.85M","1.50%"
"05/20/2022","932.26","993.50","1,001.23","892.78","224.47M","-5.29%"
"05/19/2022","984.29","980.66","1,012.42","963.00","198.52M","0.29%"
"05/18/2022","981.48","1,027.09","1,041.91","972.26","186.88M","-6.31%"
"05/17/2022","1,047.59","1,029.13","1,048.62","1,007.75","159.21M","4.73%"
"05/16/2022","1,000.25","1,051.48","1,051.48","994.53","182.28M","-5.10%"
"05/13/2022","1,054.03","1,047.23","1,073.20","1,025.86","239.17M","6.05%"
"05/12/2022","993.90","960.71","1,029.83","937.26","354.86M","-0.73%"
"05/11/2022","1,001.23","1,074.54","1,090.75","994.09","252.71M","-7.27%"
"05/10/2022","1,079.73","1,106.03","1,111.25","1,049.89","220.90M","1.28%"
"05/09/2022","1,066.13","1,124.02","1,136.14","1,059.22","273.54M","-8.11%"
"05/06/2022","1,160.18","1,183.84","1,186.47","1,132.86","172.52M","-1.02%"
"05/05/2022","1,172.10","1,247.44","1,251.46","1,153.58","165.39M","-7.38%"
"05/04/2022","1,265.47","1,205.48","1,268.78","1,185.95","165.24M","4.35%"
"05/03/2022","1,212.70","1,202.35","1,226.49","1,188.51","146.88M","0.98%"
"05/02/2022","1,200.96","1,152.07","1,203.48","1,137.96","157.05M","3.22%"
"04/29/2022","1,163.55","1,202.33","1,239.66","1,162.52","176.28M","-1.19%"
"04/28/2022","1,177.53","1,196.49","1,199.56","1,112.69","251.65M","-0.13%"
"04/27/2022","1,179.11","1,195.53","1,220.09","1,174.31","171.42M","0.71%"
"04/26/2022","1,170.80","1,305.55","1,306.59","1,169.52","204.30M","-10.45%"
"04/25/2022","1,307.37","1,285.16","1,315.20","1,278.91","157.05M","-0.42%"
"04/22/2022","1,312.92","1,327.60","1,350.24","1,305.26","152.05M","-0.88%"
"04/21/2022","1,324.58","1,401.30","1,417.89","1,311.34","161.81M","2.01%"
"04/20/2022","1,298.54","1,355.84","1,361.31","1,296.58","127.68M","-3.96%"
"04/19/2022","1,352.05","1,318.99","1,358.78","1,312.35","133.59M","2.61%"
"04/18/2022","1,317.67","1,300.64","1,330.08","1,283.63","117.95M","1.52%"
"04/14/2022","1,297.89","1,314.70","1,329.92","1,294.86","112.25M","-3.01%"
"04/13/2022","1,338.23","1,292.98","1,342.39","1,283.81","129.44M","2.94%"
"04/12/2022","1,300.02","1,312.93","1,341.29","1,288.53","141.70M","0.90%"
"04/11/2022","1,288.48","1,287.31","1,328.59","1,285.80","166.07M","-3.56%"
"04/08/2022","1,336.09","1,352.55","1,359.01","1,334.02","154.50M","-2.35%"
"04/07/2022","1,368.24","1,366.94","1,388.28","1,324.30","214.37M","0.51%"
"04/06/2022","1,361.28","1,396.36","1,400.03","1,341.23","223.57M","-3.86%"
"04/05/2022","1,415.90","1,475.53","1,491.14","1,412.12","199.38M","-4.73%"
"04/04/2022","1,486.20","1,426.71","1,490.97","1,409.58","143.44M","4.53%"
"04/01/2022","1,421.77","1,424.08","1,433.02","1,408.04","148.39M","0.23%"
"03/31/2022","1,418.51","1,443.55","1,449.94","1,418.51","136.20M","-1.70%"
"03/30/2022","1,443.11","1,446.26","1,468.66","1,432.47","153.81M","-0.93%"
"03/29/2022","1,456.69","1,455.32","1,466.75","1,422.30","221.80M","1.78%"
"03/28/2022","1,431.18","1,402.40","1,436.07","1,389.91","161.44M","6.41%"
"03/25/2022","1,344.94","1,351.87","1,358.00","1,328.65","132.23M","-0.58%"
"03/24/2022","1,352.82","1,345.50","1,363.23","1,322.90","131.51M","1.44%"
"03/23/2022","1,333.67","1,315.00","1,380.46","1,312.88","169.99M","-0.06%"
"03/22/2022","1,334.44","1,262.20","1,339.24","1,258.48","186.45M","6.58%"
"03/21/2022","1,252.09","1,251.49","1,278.87","1,235.49","166.03M","0.79%"
"03/18/2022","1,242.31","1,202.94","1,245.43","1,194.05","225.02M","3.44%"
"03/17/2022","1,200.98","1,155.46","1,203.73","1,146.93","150.86M","2.77%"
"03/16/2022","1,168.57","1,124.86","1,169.49","1,120.49","202.49M","4.80%"
"03/15/2022","1,115.08","1,082.01","1,119.38","1,063.43","162.00M","4.02%"
"03/14/2022","1,071.98","1,092.01","1,115.41","1,059.72","175.55M","-3.15%"
"03/11/2022","1,106.79","1,157.80","1,161.47","1,105.73","170.31M","-4.19%"
"03/10/2022","1,155.16","1,166.00","1,167.65","1,121.67","169.16M","-2.00%"
"03/09/2022","1,178.68","1,156.38","1,181.26","1,150.64","157.69M","4.09%"
"03/08/2022","1,132.35","1,100.04","1,171.08","1,088.32","242.55M","2.18%"
"03/07/2022","1,108.16","1,177.77","1,186.90","1,108.16","223.56M","-4.41%"
"03/04/2022","1,159.26","1,184.17","1,184.33","1,145.39","226.48M","-1.47%"
"03/03/2022","1,176.55","1,227.39","1,232.03","1,168.04","208.09M","-4.22%"
"03/02/2022","1,228.35","1,213.27","1,233.38","1,182.84","263.58M","2.36%"
"03/01/2022","1,200.01","1,220.93","1,231.52","1,188.04","249.98M","-2.09%"
"02/28/2022","1,225.64","1,170.11","1,234.28","1,167.02","220.57M","4.97%"
"02/25/2022","1,167.58","1,159.62","1,172.84","1,129.87","176.50M","1.50%"
"02/24/2022","1,150.34","1,037.40","1,152.07","1,027.84","260.93M","3.74%"
"02/23/2022","1,108.89","1,187.71","1,194.44","1,105.74","194.12M","-5.65%"
"02/22/2022","1,175.28","1,199.88","1,220.43","1,150.46","214.02M","-4.00%"
"02/18/2022","1,224.24","1,253.75","1,254.46","1,201.03","204.43M","-1.62%"
"02/17/2022","1,244.45","1,300.77","1,300.77","1,241.40","154.53M","-4.41%"
"02/16/2022","1,301.81","1,287.00","1,305.48","1,273.61","132.82M","0.24%"
"02/15/2022","1,298.65","1,265.40","1,299.03","1,262.65","160.11M","4.90%"
"02/14/2022","1,237.97","1,222.08","1,264.78","1,213.43","204.78M","1.47%"
"02/11/2022","1,220.04","1,281.58","1,288.87","1,208.48","204.65M","-4.39%"
"02/10/2022","1,276.10","1,280.16","1,325.04","1,266.53","175.88M","-2.63%"
"02/09/2022","1,310.63","1,304.52","1,323.21","1,298.81","183.58M","1.58%"
"02/08/2022","1,290.20","1,273.39","1,294.99","1,253.16","247.00M","1.29%"
"02/07/2022","1,273.79","1,293.41","1,319.77","1,268.51","179.62M","-1.47%"
